"","x","y","Bungarus_caeruleus.AI.model","Bungarus_ceylonicus.AI.model","Daboia_russellii.AI.model","Echis_carinatus.PPM.model","Hypnale_spp.AI.model","Naja_naja.AI.model","Trimeresurus_trigonocephalus.AI.model","Sum","Agressiv","Severity","Agr.Sev","hum.pop","envenomings","bites","land.cover"
"75",452307.570567719,788096.488324056,2.50691990277829e-07,6.60678098855235e-13,9.96714040191193e-08,1.82200364906571e-07,5.12302622546201e-08,6.22362519298036e-08,6.20637281151248e-09,6.52237306877554e-07,3.98148164151671e-06,5.19690205315674e-06,2.67835356801935e-05,2981.13682623208,0.00248237381713533,0.00347816157680292,2
"76",456902.570567719,788096.488324056,2.62576347775934e-07,4.64535377327799e-13,1.13445204563689e-07,2.85931331056588e-07,5.30712447321946e-08,9.29159271745306e-08,5.49729281366929e-09,8.13437812651983e-07,5.32030394723925e-06,6.2837471227885e-06,3.48946319763714e-05,2676.26889759358,0.00245112870610366,0.00253258968642412,2
"77",461497.570567719,788096.488324056,1.91499717416832e-07,6.25128819016626e-12,7.95032346623259e-08,1.89528530647465e-07,3.62499098516267e-08,1.66493171582793e-07,1.89023146787703e-09,6.6517104691711e-07,4.1206232151326e-06,5.43330636376149e-06,2.90902394300736e-05,4017.60918754622,0.0023654121115166,0.0021266907770464,3
"81",397167.570567719,783486.488324056,6.28314165140864e-08,1.94675413891501e-12,1.55907902144037e-08,2.73641774128919e-07,6.26750862320336e-09,2.7421641957126e-08,9.52019170961937e-11,3.85850280108973e-07,3.18716335030697e-06,2.44556455282885e-06,1.77456782894763e-05,3289.89155380749,0.00239375676099289,0.00188812281043541,3
"83",429332.570567719,783486.488324056,1.07349294786729e-07,2.82942780329928e-12,8.4058674687526e-08,0,4.37585083723491e-08,2.382496284703e-07,9.87913181815792e-10,4.74406848926523e-07,2.52193152166735e-06,4.42886771202245e-06,2.2102872318791e-05,391.761790378492,0.00250676515196715,0.00256884024918278,3
"86",452307.570567719,783486.488324056,1.48447374836991e-07,5.56650330112163e-12,6.7440862450141e-08,1.51941161707914e-07,3.4872101095651e-08,7.921254119303e-08,2.20273980999774e-09,4.84122347597025e-07,3.11383898863919e-06,3.81758830147115e-06,2.09813367745608e-05,1529.38464882763,0.00250992649316752,0.00235432437613766,3
"87",456902.570567719,783486.488324056,2.62542422024836e-07,1.17174550515561e-12,1.0649899673254e-07,4.05857593310799e-07,5.46135938694903e-08,1.16343779721362e-07,3.11596301191819e-09,9.48973520416451e-07,6.58220453813671e-06,7.05010841341682e-06,4.15379521423192e-05,1017.5164976534,0.00244841384638215,0.00327865342255292,3
"88",461497.570567719,783486.488324056,2.48887968457012e-07,5.81793242427568e-13,1.04258339295171e-07,2.54629704543596e-07,5.07043371733573e-08,1.46682284762889e-07,3.35142144244904e-09,8.08514637467718e-07,5.13870360270731e-06,6.42690469876365e-06,3.49252704398661e-05,1136.83706519256,0.00243650374373421,0.00297105981536506,3
"89",466092.570567719,783486.488324056,1.96403784791244e-07,5.82376549125596e-13,8.36426892192321e-08,1.94224427652046e-07,4.13877295768472e-08,1.26561628288613e-07,1.46673425835409e-09,6.43687576162885e-07,4.05967978499501e-06,5.1628389080055e-06,2.79092317470174e-05,3201.44958298979,0.00234569713597903,0.00228191598976955,3
"91",378787.570567719,778876.488324056,1.2247840297519e-07,1.12941434159066e-12,1.460686471777e-08,1.02629081055738e-06,5.80417057471916e-09,3.93799216846791e-08,1.80633890549224e-11,1.20857936331314e-06,1.08797706531856e-05,6.91354781581994e-06,5.70758986407479e-05,1401.1113030406,0.0022996919165927,0.00293322623596646,3
